video_id,title,publishedAt,channelId,channelTitle,category,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"yDbg3SGQ2DQ","INDIA'S GOT LATENT | EP 08 ft. @poonampandeyonline @viditchess @vivekmagic ​⁠","2024-10-13T16:30:07Z","UCAov2BBv1ZJav0c_yHEciAw","Samay Raina","Entertainment","24.16.10","samay raina|samay raina comedy|samay raina chess|standup comedy|comedy|trending|samay funny|samay|comicstaan|streaming chess|chess|chess funny","10227102","558819","0","15807","https://i.ytimg.com/vi/yDbg3SGQ2DQ/default.jpg","False","False","Become a member herehttps://www.youtube.com/channel/UCAov2BBv1ZJav0c_yHEciAw/joinLatent' is an ability that is hidden deep inside.If you have a 'Latent' or want to discover your latent by participating in future episodes please follow Samay Raina's instagram channel and look for the story updates for the participation link.Instagram:   instagram.com/maisamayhoon  IGL official handles -https://www.youtube.com/@IndiasGotLatentOfficial/https://www.instagram.com/indiasgotlatent/Shot & Recorded by The Habitat StudiosEdited by: Pratham Sagar my GPost Production Studio:Audio Mix and Master - Yash Rajiv Barse (The Habitat Studios)Line Producer: Tushar Poojari Assisted by: Dhristi PalreshaLive Producer: Saurabh BothraThe Habitat Audio Team: Yash Rajiv Barse Assisted by Abhay Thakur The Habitat Video Team:Vivian CastelinoAaditi HiraniHarsh ShahInspired by: Kill TonyLocation: The Habitat, Mumbai"
"H1frBzuWqqM","Love Insurance Kompany - Dheema Video | Pradeep Ranganathan | Anirudh Ravichander | Vignesh Shivan","2024-10-16T04:36:14Z","UCn4rEMqKtwBQ6-oEwbd4PcA","Sony Music South","Music","24.16.10","Sony Music South|Sony Music|Latest Song|Tamil song|Tamil Latest Song|Latest songs in Tamil4|Songs in Tamil|Latest Tamil Movies|Tamil Movie Songs|Latest Video Songs Tamil|latest Tamil Love Songs|Latest Tamil Hit Songs|Songs in Telugu4|Telugu Movie Songs|Video Songs Telugu|new Telugu Songs","1483197","113791","0","2724","https://i.ytimg.com/vi/H1frBzuWqqM/default.jpg","False","False","Movie : Love Insurance KompanySong Title : DheemaLanguage : TamilComposed by Anirudh RavichanderLyrics - Vignesh ShivanVocals - Anirudh RavichanderStarring : Pradeep Ranganathan, S J Suryah,  Krithi Shetty, Yogi Babu, Seeman, Gouri Kishan, Shah Rah Promo Song Credits Director - Vignesh shivan Music Video Shot by- Nirav Shah ISCMusic director - Anirudh RavichanderSinger - Anirudh Ravichander Lyricist - Vignesh Shivan Costume designer - Praveenraja Make up - Pavitra J Rukmani  Hairstylist - Udhay DasDIT- Movie image Colorist- Manoj HemachandarDI - Infinity MediaCG- Knack studios Choreographer - Suren Assistant Choreographers - Anusha Vishwanathan & Shakthivel Direction Team: K.P. Jagan, Parvathi Sridharan, Harish Lakshmanan, Divakar T Lingam, Jessica Princy I, Binu Sriram, Ponmanaselvan S, Prasana Yogeshwaran, Divya Thiravidamani, Balasubramanian Marimuthu, Aditi Shingvi, Bhavithra RaviPublicity designer - Aesthetic Kunjamma Stills - Suresh Durai Promo Stills- Avinash GowarikarLine producer - K S Mayilvaganan Executive producer- Divz VenugopalDancers featured Joann Jagruthi Jaswanth Rajasai Brinda Meenakshi Yazh Karthik Yahvi Swedha Arunachalam Yaksha Deepika Ramnath Vibha Darsana Mehas YeshwanthMovie Team:Director of Photography - Sathyan  SooryanMusic director - Anirudh Ravichander Production Design - T Muthuraj Editor - Pradeep E Ragav Costume designers - Praveenraja, Rini Pant, Jayakumar & Shangreihan keishing   Make Up - Ranganathan Raju Colorist - Manoj HemachandarDI- Infinity MediaStunt - Kecha Khamphakdee & Chetan D’Souza Promo stills - Avinash Gowarikar Publicity Design - Aesthethic Kunjamma Stills - Suresh DuraiLine Producer- K.S. Mayilvaganan Production Controller - Gubendran VKExecutive Producer - Divz VenugopalCo - producer L.K Vishnu Kumar Producer Nayanthara Produced & Presented by SS Lalit KumarPro - YuvrajDirection team : K P JaganParvathi Sridharan Harish Lakshmanan Divakar T LingamBinu Sriram Jessica Princy IPrasana Yogeshwaran Divya Thiravidamani Ponmanaselvan SBalasubramanian Marimuthu Aditi Shingvi Bhavithra RaviMusic credits:Song Title : DheemaAlbum / Movie : Love Insurance KompanyLanguage : TamilComposed by Anirudh RavichanderLyrics - Vignesh ShivanVocals - Anirudh RavichanderComposed, Arranged & Programmed by Anirudh RavichanderAcoustic Guitar, Ukulele  - Keba JeremiahFlute - Lalit TalluriAcoustic & Dobro Guitar, Mandolin - AmalrajSolo Violin by AmalrajAdditional Keyboard Programmed by ArishMusic Advisor - AnanthakrrishnanCreative Consultant - Sajith SatyaRecorded atAlbuquerque Records, Chennai. Engineered by Srinivasan M, Shivakiran SStrings 7 Studio, Chennai, Engineered by Amal RajMixed by Vinay Sridhar & Srinivasan M at Albuquerque Records, ChennaiStem Mixed & Mastered by Vivek Thomas at VTP Studios Assisted by Sibin WilsonMusic Coordinator - Velavan BMusic Label - Sony Music Entertainment India Pvt. Ltd.© 2024 Sony Music Entertainment India Pvt. Ltd.Subscribe Now: http://bit.ly/SonyMusicSouthVevoSubscribe Now: http://bit.ly/SonyMusicSouthYTFollow us: https://www.instagram.com/sonymusic_south/Follow us: Twitter: https://twitter.com/SonyMusicSouthLike us: Facebook: https://www.facebook.com/SonyMusicSouthJoin our WhatsApp broadcast channel https://whatsapp.com/channel/0029VaAThD53GJOwZNFUJZ3BJoin Our Instagram broadcast channel https://ig.me/j/Abal-auA3Y5L6OtV/"
"1b9AbtalWko","അങ്ങനെ ഷഫ്മോന്റെ കല്യാണമായി ട്ടോ ❤️SHAS DOT COM❤️","2024-10-15T06:38:55Z","UC5LJubeycbLXoR9jiWtVDrQ","SHAS DOT COM by shahadiya sakeer","People & Blogs","24.16.10","[none]","503781","8339","0","3137","https://i.ytimg.com/vi/1b9AbtalWko/default.jpg","False","False","CLICK ON THE LINK TO GET EXCITING OFFERSDownload Link - https://kukufm.page.link/88sGByCLaQxD5cPJ6Get all the audiobooks for FREE for next 7Days! Note : For IOS Users, Kindly use the coupon code in Kuku FM Web Page to get the additional discount and login to Kuku FM App"
"g5mAQnSeSEs","Kapoor Queens Unite - Karishma & Kareena Kapoor | The Great Indian Kapil Show | Bacha Hua Content","2024-10-15T06:50:03Z","UC1-BQ2oxqBVtCjMHF-Wf98w","Kapil Sharma","Entertainment","24.16.10","kapil sharma|kapil sharma show|the great indian kapil show|kapil sharma vlog|kapil sharma channel|kapil sharma youtube channel|famous personality|Comedy nights with Kapil|The Kapil Sharma Show|kapil sharma news|kapil|kapil sharma comedy|kapil sharma new show|kapil sharma new show 2024|kapil sharma show full episodes|kapil sharma show 2024|kapil sharma show latest episode|kapil sharma show karishma kapoor|kapil sharma show kareena and karishma|kareena kapoor","1609287","25203","0","594","https://i.ytimg.com/vi/g5mAQnSeSEs/default.jpg","False","False","Kapoor Queens Unite | Karishma Kapoor & Kareena Kapoor Khan | The Great Indian Kapil Show | Bacha Hua ContentSubscribe to my Channel:http://bit.ly/SubscribeToKapilSharmaK9The Great Indian Kapil Show (Bacha Hua Content) Episodes⦿ Comedy Innings with Champions: https://youtu.be/1GOGtFZHFQc⦿ Triple the Laughter: Jr. NTR, Saif, Janhvi - https://youtu.be/YgOa2Zpig1Q⦿ Team Jigra - Alia, Vedang, Karan - https://youtu.be/gXqrfv0g00o⦿ Rapper Union - Badshah, Divine, Karan - https://youtu.be/iQe2o6Ax6_c⦿ Laughter Knockout with Mary, Sania, Saina, Sift Kaur - https://youtu.be/FOIQcP0mX9Q⦿ Laughter Match with Janhvi & Rajkumar - https://youtu.be/MdvRnmCqYUI⦿ Bollywood Secrets with Anil Kapoor & Farah Khan - https://youtu.be/Uefjbkh6o8s⦿ After party with Ed Sheeran - https://youtu.be/t7O3U_VTsXE⦿ Laughter Mandi with Heeramandi - https://youtu.be/x6LqII_MmB4⦿ Dazzling Deol Brothers - https://youtu.be/4s2NvAQlzq4⦿ First Time Ever Aamir Khan - https://youtu.be/RqZISpqdj-c⦿ Kaushal Brothers - https://youtu.be/xixNXeMrMR4⦿ Qawali Jodi - Kapil Sharma, Sunil Grover - https://youtu.be/CGZNbbLEvnA⦿ Movie Chamkila Episode - https://youtu.be/qVJjJvQWpss⦿ Rohit Sharma & Shreyas Iyer Episode - https://youtu.be/iFdhyaXhpbQ⦿ Kisse Kapoors Ke - https://youtu.be/e0bSa9yXQHYFollow me :Facebook - https://www.facebook.com/Kapilsharmapunj/Instagram - https://www.instagram.com/kapilsharmaTwitter - https://twitter.com/KapilSharmaK9#KapilSharma #KareenaKapoorKhan #KarishmaKapoor"
"AUMpaYtV19M","NOOL PAROTTA | Thread Parotta Recipe Cooking In Village | Lachha Paratha | Soft Layered Parotta","2024-10-14T14:13:43Z","UCk3JZr7eS3pg5AGEvBdEvFg","Village Cooking Channel","Howto & Style","24.16.10","parotta|nool parotta|thread parotta|lachha paratha|soft parotta recipe|kerala recipes|madurai parotta","3343696","139529","0","3269","https://i.ytimg.com/vi/AUMpaYtV19M/default.jpg","False","False","Today, in our village, we cook a special thread parotta recipe. This parotta has different names in different places. In Karachi, it is called Lachha Paratha. In our place, we call it Nool Parotta. This Parotta has different layers: on the top, it's crunchy, and in the middle, it's very soft.Parotta lovers can try it at home. The taste is very delicious!"
"F7XvTeFOAAA","Yeh Rishta Kya Kehlata Hai Today Episode NEW PROMO | 16th October 2024 |","2024-10-16T00:40:58Z","UCVGiG3GcphUyMzNXg2iMN3A","Telly Reporter","Entertainment","24.16.10","yeh rishta kya kehlata hai|yeh rishta kya kehlata hai full episode today|yeh rishta kya kehlata hai new promo|yrkkh full episode today promo|Yeh Rishta Kya Kehlata hain Full Episode Promo 14th october2024|star plus yeh rishta kya kehlata hai|yeh rishta kya kehlata hai today episode|yeh rishta kya kehlata hai 16th october 2024|yeh rishta kya kehlata hai today full episode|yeh rishta kya kehlata hai aaj ka full episode|yrkkh telly reporter|yrkkh full episode today","1625286","18327","0","538","https://i.ytimg.com/vi/F7XvTeFOAAA/default.jpg","False","False","Star Plus Serial YRKKH / Yeh Rishta Kya Kehlata Hai NEW PROMO Today Episode |16th October 2024  | #yehrishtakyakehlatahai #RohitPurohit #SamridhiShukla #yrkkh ➤Subscribe Telly Reporter @ http://bit.do/TellyReporter⦿SOCIAL MEDIA Links⦿➤https://www.facebook.com/TellyReporter➤https://x.com/TellyReporter➤https://www.instagram.com/TellyReporter⦿ Follow TellyReporter With #TellyReporter #TellyExclusive"
"6gBgcja9rUk","Koolyug - Amit Bhadana","2024-10-15T14:00:37Z","UC_vcKmg67vjMP7ciLnSxSHQ","Amit Bhadana","Entertainment","24.16.10","amit bhadana|amit bhadana videos|amit bhadana vines|amit bhadana dub|amit bhadana desi videos|amit bhadana new|amit bhadana funny|amit bhadana comedy|kalyug|koolyug|reels|instagram|snapchat|social media|social message|men|women|naari|shakti|harassment|amit bhadana film|amit bhadana series|showoff|video|amit bhadana latest|amit bhadana new video|cool|influencer|trend|boyfriend|girlfriend|genz|family|millennial|twitter|youtube|content creator|motivation|karma|karam","1456727","153244","0","12049","https://i.ytimg.com/vi/6gBgcja9rUk/default.jpg","False","False","Welcome to Koolyug – jahan hoti hai virtual duniya aur asli emotions ki takraar! Amit, jo asli rishton ki ehmiyat samajhta hai, aur uski girlfriend Tanya, jise sirf fame aur followers ki fikr hai; ye dono khade hain ek ajeeb mod par. Likes aur comments ki race mein kya unka pyaar bacha rahega? Ya phir ek unexpected twist inki duniya ko hamesha ke liye badal dega? To dekho aur jano, Koolyug mein jo dikhai deta hai vo utna simple hota nahi.Video Credits :-Directed & Written By - Amit Bhadana Director of Photography- Manish PanditEditor & DI - Sarfaraz ZuberAssistant Editor - Harbhajan SinghBackground Music - Lovepreet SinghFoley & SFX - Karan Arjun Singh Sound Mixing - Sanjay MishraChief A.D - Shivam Saluja1st A.D  -  Aashish Gelal2nd A.D - Vishal Mahour3rd A.D - Shiva Pandey2nd D.O.P - Amit KumarCamera Assistant - Hari SinghCamera Attendent - Manoj , Vikas SharmaCamera Equipment - Varenyam ProductionsLight - Laxmi Light Casting By - Bhavya TharejaMake-up Artist - Macpal , Vipin Baweja Hair Stylist - Kamal Chopra , Vipin BawejaArt - Team AdityaThumbnil By - Muzammil HayaatExecutive Producer - Avinash JindhadLine Producer - Pankaj Kasana , Sube BhadanaOn Location Sound Recordist- Shiva Mishra & TeamSpot Boy - Vinod, KishanKalakaar :-Amit BhadanaRishabh ShuklaKhushi ChauhanPankaj KasanaMuskan MathpalHarshu SinghAahana SinghSong Credits :-Concept & Directed By - Amit BhadanaChief A.D - Shivam Saluja1st A.D - Aashish Gelal2nd A.D - Vishal Mahour3rd A.D - Shiva PandeyDOP - Shubh SandhuAssistant DOP - Akash, Vishesh GaurMusic Produced By - CRMXLLyrics By - Vishesh MalikVocal creditsRapper - Vishesh MalikSinger - Viraj KumarShlok - Sakshi SinghSong's Artist :-Rishabh ShuklaKhushi ChauhanMuskan MathpalPrashiTrishaRupaliSubhashreeHarjinder#AmitBhadana #Koolyug #NewVideo #Motivation #SocialMedia #Influencer #Comedy #Funny #Shorts #Reels"
"9oDBT1U6k10","കാലിന്റെ കാര്യം തീരുമാനമായി ഞാൻ അടയിരുന്ന മുട്ട  I Am Human Incubator | M4 Tech |","2024-10-15T10:53:09Z","UClfll_TO6FpOPLUg4Aawhlw","M4 Tech","Entertainment","24.16.10","[none]","586532","29049","0","1173","https://i.ytimg.com/vi/9oDBT1U6k10/default.jpg","False","False","Human Incubator Subscribe For More : M4 Tech               : https://www.youtube.com/@M4TechofficialM4 Tech Vlog      : https://www.youtube.com/@M4TECHVLOGM4 Tech Shorts  : https://www.youtube.com/@m4techshorts353M4 Tech Edu       : https://www.youtube.com/@m4eduofficial"
"ZQuuw18Yicw","Citadel: Honey Bunny - Official Trailer | Raj&DK | Russo Brothers | Varun, Samantha, Kay Kay, Saqib","2024-10-15T07:33:03Z","UC4zWG9LccdWGUlF77LZ8toA","Prime Video India","Entertainment","24.16.10","citadel honey bunny|citadel honey bunny trailer|citadel honey bunny official trailer|citadel universe|raj and dk|citadel honey bunny web series|citadel honey bunny release date|citadel honey bunny amazon prime|citadel new season|varun dhawan|samantha|prime video india|amazon prime|prime video|rush brothers|citadel","10747883","61333","0","2426","https://i.ytimg.com/vi/ZQuuw18Yicw/default.jpg","False","False","Prime Video India PresentsCitadel Honey Bunny Official Trailer About:When stuntman Bunny recruits struggling actress Honey for a side gig, they are hurled into a high-stakes world of action, espionage and betrayal. Years later, as their dangerous past catches up, the estranged Honey and Bunny must reunite and fight to protect their young daughter Nadia.A Series By Raj & DKStarring: Varun Dhawan, Samantha, Kay Kay Menon, Simran, Saqib Saleem, Sikandar Kher, Soham Majumdar, Shivankit Parihar, and Kashvi Majmundar. Directed by Raj & DK Developed by Sita R Menon Written by Sita R Menon, Raj & DK Produced by D2R Films & Amazon MGM Studios Executive produced by The Russo Brothers’ AGBO and Raj & DK Executive Producers for All the Series in The World Of Citadel: Anthony Russo, Joe Russo, Angela Russo-Otstot, Scott Nemes, David Weil, Midnight Radio. Associate Producer: Anuradha Sharma Supervising Producer: Pravin Khairnar (Quercus Productions) Director Of Photography: Johan Heurlin Aidt Production Designer: Meenal Agarwal Editor: Sumeet Kotian Screenplay: Sita R Menon, Raj & DK Dialogues: Sumit Arora Action Directors: Yannick Ben Haddou, Diyan Georigiev Hristov, Aejaz Gulab Sound Design: Sanjay Maurya & Allwin Rego Background Music: Aman Pant Costume Designer: Ameira Punvani Casting Director: Mukesh Chhabra CSA Second Unit Director: Tusshar Seyth Associate Director: Chesta Goswami Showrunners' Associate: Manisha K Makwana First Assistant Director: Moen Sheikh Post-Production Supervisor: Jespal Nadar Post Production Supervisor: Gautmik Post-Production Coordinator: Manisha K Makwana Line Producers: Kalyani Warner, Rrahil Deshmukh Production Manager: Utkarsha Kohli VFX Producer: Variate Studio LLP Title Sequence Designed By: Rech Films LLP Second Unit Director Of Photography: Tarun Achpal Special Advisor: Bimal ParekhOfficial Release Date Nov 7, 2024 on Prime Video India.ABOUT PRIME VIDEOPrime Video is a one-stop entertainment destination offering customers a vast collection of premium programming in one application available across several devices. On Prime Video, customers can find their favourite Indian and international original series, movies, TV shows, and more, across multiple languages – including Indian-produced Original series like Mirzapur, Farzi, Panchayat, The Family Man, Dhootha, Jubilee, Dahaad, Made in Heaven, Suzhal – The Vortex, Inspector Rishi, Poacher, Indian Police Force, Paatal Lok, Rainbow Rishta, Wedding.con; Original movies like Maja Ma, Ammu, Mast Mein Rehne Ka; popular global Originals like Citadel, The Lord of The Rings: The Rings of Power, Fallout, Reacher, The Boys, The Wheel of Time, Road House, The Idea of You; some of the biggest post-theatrical films; direct-to-service films such as Shershaah, Soorarai Pottru, Sardar Udham, Bawaal, Gehraiyaan, Jai Bhim, Jalsa, Sherni, Narappa, Sarpatta Parambarai, Kuruthi, Joji, Malik, Pippa, HOME, Sharmajee Ki Beti, and many more of such titles. Additionally, Prime Video’s video entertainment marketplace, offers customers programming from partners such as Lionsgate Play, Discovery+ Crunchyroll, BBC Player, Sony Pictures – Stream, MGM+, FanCode, Chaupal, Manorama Max, Eros Now, Hoichoi, Anime Times, to name a few, via Prime Video add-on-subscriptions, as well as the option to rent movies, regardless of whether customers have a Prime membership or not. Customers can also go behind the scenes of their favorite movies and series with exclusive X-Ray access. Prime Video is one benefit among many that provides savings, convenience, and entertainment as part of the Prime membership. For more info visit www.amazon.com/primevideo.#CitadelHoneyBunnyOnPrime #trailer #officialtrailer #primevideoindia"
"wq5Np0O53_I","Pandian Stores 2 | 16th to 19th October 2024 - Promo","2024-10-16T06:03:03Z","UCvrhwpnp2DHYQ1CbXby9ypQ","Vijay Television","Entertainment","24.16.10","Pandian Stores|Star|Star Vijay TV|Vijay TV|Vijay|தமிழ்|விஜய்|டிவி|தொலைக்காட்சி|Tamil TV|Tamil Shows|hotstar|பாண்டியன் ஸ்டோர்ஸ்|jeeva|Kathir","1680959","29770","0","299","https://i.ytimg.com/vi/wq5Np0O53_I/default.jpg","False","False","பாண்டியன் ஸ்டோர்ஸ் தந்தை சொல் மிக்க மந்திரம் இல்லை - திங்கள் முதல் சனி இரவு 8 மணிக்கு நம்ம விஜய் டிவில.. Click here https://www.hotstar.com/in/shows/pandian-stores-2/1260000603 to watch the show on Disney+ Hotstar             #PandianStores #VijayTV #VijayTelevision #StarVijayTV #StarVijay #TamilTV"
